filename,oldInvariant,expected,sizeOfTrace,numOfPositives,numOfNegatives,solvingTime,formula
weakening/w_conseq_7_5_80_80.trace,"[](a -> b)","[](a -> b || c)",5,80,80,3.998,"[](a -> (b || c))"
weakening/w_antec_11_15_5_5.trace,"[](a -> b)","[](a && c -> b)",15,5,5,4.776,"[]((a && c) -> b)"
weakening/w_conseq_11_30_5_5.trace,"[](a -> b)","[](a -> b || c)",30,5,5,45.631,"[](a -> (b || c))"
weakening/w_conseq_3_40_5_5.trace,"[](a -> b)","[](a -> b || c)",40,5,5,52.473,"[](a -> (b || c))"
weakening/w_conseq_7_5_70_70.trace,"[](a -> b)","[](a -> b || c)",5,70,70,3.507,"[](a -> (b || c))"
weakening/w_antec_7_100_5_5.trace,"[](a -> b)","[](a && c -> b)",100,5,5,TO,-
weakening/w_antec_11_5_95_95.trace,"[](a -> b)","[](a && c -> b)",5,95,95,8.639,"[]((a && c) -> b)"
weakening/w_antec_11_35_5_5.trace,"[](a -> b)","[](a && c -> b)",35,5,5,85.647,"[]((a && c) -> b)"
weakening/w_conseq_7_85_5_5.trace,"[](a -> b)","[](a -> b || c)",85,5,5,TO,-
weakening/w_conseq_7_15_5_5.trace,"[](a -> b)","[](a -> b || c)",15,5,5,2.796,"[](a -> (b || c))"
weakening/w_antec_7_5_95_95.trace,"[](a -> b)","[](a && c -> b)",5,95,95,4.71,"[]((a && c) -> b)"
weakening/w_conseq_7_70_5_5.trace,"[](a -> b)","[](a -> b || c)",70,5,5,TO,-
weakening/w_conseq_3_5_20_20.trace,"[](a -> b)","[](a -> b || c)",5,20,20,0.631,"[](a -> (b || c))"
weakening/w_conseq_11_5_40_40.trace,"[](a -> b)","[](a -> b || c)",5,40,40,3.432,"[](a -> (b || c))"
weakening/w_conseq_7_95_5_5.trace,"[](a -> b)","[](a -> b || c)",95,5,5,TO,-
weakening/w_conseq_11_5_100_100.trace,"[](a -> b)","[](a -> b || c)",5,100,100,8.724,"[](a -> (b || c))"
weakening/w_conseq_3_5_100_100.trace,"[](a -> b)","[](a -> b || c)",5,100,100,2.421,"[](a -> (b || c))"
weakening/w_antec_3_20_5_5.trace,"[](a -> b)","[](a && c -> b)",20,5,5,5.129,"[]((a && c) -> b)"
weakening/w_conseq_7_55_5_5.trace,"[](a -> b)","[](a -> b || c)",55,5,5,"ERR:Unknown exception occurred: java.lang.OutOfMemoryError: GC overhead limit exceeded",-
weakening/w_antec_7_5_45_45.trace,"[](a -> b)","[](a && c -> b)",5,45,45,2.225,"[]((a && c) -> b)"
weakening/w_conseq_11_55_5_5.trace,"[](a -> b)","[](a -> b || c)",55,5,5,"ERR:Unknown exception occurred: java.lang.OutOfMemoryError: GC overhead limit exceeded",-
weakening/w_antec_3_15_5_5.trace,"[](a -> b)","[](a && c -> b)",15,5,5,1.647,"[]((a && c) -> b)"
weakening/w_antec_3_5_15_15.trace,"[](a -> b)","[](a && c -> b)",5,15,15,0.486,"[]((a && c) -> b)"
weakening/w_antec_7_40_5_5.trace,"[](a -> b)","[](a && c -> b)",40,5,5,87.424,"[]((a && c) -> b)"
weakening/w_antec_7_5_35_35.trace,"[](a -> b)","[](a && c -> b)",5,35,35,1.777,"[]((a && c) -> b)"
weakening/w_conseq_11_90_5_5.trace,"[](a -> b)","[](a -> b || c)",90,5,5,TO,-
weakening/w_conseq_3_5_10_10.trace,"[](a -> b)","[](a -> b || c)",5,10,10,0.386,"[](a -> (b || c))"
weakening/w_antec_7_5_30_30.trace,"[](a -> b)","[](a && c -> b)",5,30,30,1.589,"[]((a && c) -> b)"
weakening/w_conseq_3_5_75_75.trace,"[](a -> b)","[](a -> b || c)",5,75,75,1.857,"[](a -> (b || c))"
weakening/w_conseq_7_5_65_65.trace,"[](a -> b)","[](a -> b || c)",5,65,65,3.1,"[](a -> (b || c))"
weakening/w_conseq_7_40_5_5.trace,"[](a -> b)","[](a -> b || c)",40,5,5,87.643,"[](a -> (b || c))"
weakening/w_conseq_11_5_80_80.trace,"[](a -> b)","[](a -> b || c)",5,80,80,6.725,"[](a -> (b || c))"
weakening/w_conseq_3_5_15_15.trace,"[](a -> b)","[](a -> b || c)",5,15,15,0.471,"[](a -> (b || c))"
weakening/w_conseq_3_80_5_5.trace,"[](a -> b)","[](a -> b || c)",80,5,5,TO,-
weakening/w_conseq_11_60_5_5.trace,"[](a -> b)","[](a -> b || c)",60,5,5,"ERR:Unknown exception occurred: java.lang.OutOfMemoryError: GC overhead limit exceeded",-
weakening/w_conseq_11_20_5_5.trace,"[](a -> b)","[](a -> b || c)",20,5,5,11.213,"[](a -> (b || c))"
weakening/w_conseq_7_5_95_95.trace,"[](a -> b)","[](a -> b || c)",5,95,95,4.6,"[](a -> (b || c))"
weakening/w_antec_3_45_5_5.trace,"[](a -> b)","[](a && c -> b)",45,5,5,69.005,"[]((a && c) -> b)"
weakening/w_antec_3_5_45_45.trace,"[](a -> b)","[](a && c -> b)",5,45,45,1.14,"[]((a && c) -> b)"
weakening/w_conseq_3_90_5_5.trace,"[](a -> b)","[](a -> b || c)",90,5,5,TO,-
weakening/w_antec_11_5_10_10.trace,"[](a -> b)","[](a && c -> b)",5,10,10,1.298,"[]((a && c) -> b)"
weakening/w_conseq_11_85_5_5.trace,"[](a -> b)","[](a -> b || c)",85,5,5,TO,-
weakening/w_conseq_11_5_55_55.trace,"[](a -> b)","[](a -> b || c)",5,55,55,4.862,"[](a -> (b || c))"
weakening/w_conseq_7_5_90_90.trace,"[](a -> b)","[](a -> b || c)",5,90,90,4.402,"[](a -> (b || c))"
weakening/w_conseq_3_15_5_5.trace,"[](a -> b)","[](a -> b || c)",15,5,5,1.589,"[](a -> (b || c))"
weakening/w_antec_11_5_25_25.trace,"[](a -> b)","[](a && c -> b)",5,25,25,2.391,"[]((a && c) -> b)"
weakening/w_antec_7_5_85_85.trace,"[](a -> b)","[](a && c -> b)",5,85,85,4.131,"[]((a && c) -> b)"
weakening/w_antec_3_5_85_85.trace,"[](a -> b)","[](a && c -> b)",5,85,85,2.002,"[]((a && c) -> b)"
weakening/w_conseq_3_50_5_5.trace,"[](a -> b)","[](a -> b || c)",50,5,5,151.7,"[](a -> (b || c))"
weakening/w_antec_11_5_45_45.trace,"[](a -> b)","[](a && c -> b)",5,45,45,3.994,"[]((a && c) -> b)"
weakening/w_antec_11_5_35_35.trace,"[](a -> b)","[](a && c -> b)",5,35,35,3.362,"[]((a && c) -> b)"
weakening/w_conseq_3_5_40_40.trace,"[](a -> b)","[](a -> b || c)",5,40,40,1.056,"[](a -> (b || c))"
weakening/w_conseq_7_5_55_55.trace,"[](a -> b)","[](a -> b || c)",5,55,55,3.021,"[](a -> (b || c))"
weakening/w_antec_3_5_25_25.trace,"[](a -> b)","[](a && c -> b)",5,25,25,0.734,"[]((a && c) -> b)"
weakening/w_conseq_7_5_15_15.trace,"[](a -> b)","[](a -> b || c)",5,15,15,0.977,"[](a -> (b || c))"
weakening/w_conseq_3_70_5_5.trace,"[](a -> b)","[](a -> b || c)",70,5,5,TO,-
weakening/w_conseq_3_35_5_5.trace,"[](a -> b)","[](a -> b || c)",35,5,5,35.669,"[](a -> (b || c))"
weakening/w_antec_7_5_75_75.trace,"[](a -> b)","[](a && c -> b)",5,75,75,3.826,"[]((a && c) -> b)"
weakening/w_antec_7_5_40_40.trace,"[](a -> b)","[](a && c -> b)",5,40,40,2.023,"[]((a && c) -> b)"
weakening/w_antec_7_5_100_100.trace,"[](a -> b)","[](a && c -> b)",5,100,100,5.127,"[]((a && c) -> b)"
weakening/w_conseq_3_5_60_60.trace,"[](a -> b)","[](a -> b || c)",5,60,60,1.435,"[](a -> (b || c))"
weakening/w_antec_7_60_5_5.trace,"[](a -> b)","[](a && c -> b)",60,5,5,"ERR:Unknown exception occurred: java.lang.OutOfMemoryError: GC overhead limit exceeded",-
weakening/w_antec_11_5_70_70.trace,"[](a -> b)","[](a && c -> b)",5,70,70,6.049,"[]((a && c) -> b)"
weakening/w_antec_11_5_20_20.trace,"[](a -> b)","[](a && c -> b)",5,20,20,2.027,"[]((a && c) -> b)"
weakening/w_antec_3_5_75_75.trace,"[](a -> b)","[](a && c -> b)",5,75,75,1.872,"[]((a && c) -> b)"
weakening/w_antec_7_70_5_5.trace,"[](a -> b)","[](a && c -> b)",70,5,5,TO,-
weakening/w_antec_11_40_5_5.trace,"[](a -> b)","[](a && c -> b)",40,5,5,139.458,"[]((a && c) -> b)"
weakening/w_conseq_11_5_35_35.trace,"[](a -> b)","[](a -> b || c)",5,35,35,3.16,"[](a -> (b || c))"
weakening/w_conseq_11_5_45_45.trace,"[](a -> b)","[](a -> b || c)",5,45,45,3.837,"[](a -> (b || c))"
weakening/w_antec_3_85_5_5.trace,"[](a -> b)","[](a && c -> b)",85,5,5,TO,-
weakening/w_conseq_11_5_70_70.trace,"[](a -> b)","[](a -> b || c)",5,70,70,6.323,"[](a -> (b || c))"
weakening/w_conseq_11_70_5_5.trace,"[](a -> b)","[](a -> b || c)",70,5,5,TO,-
weakening/w_antec_11_5_15_15.trace,"[](a -> b)","[](a && c -> b)",5,15,15,1.716,"[]((a && c) -> b)"
weakening/w_conseq_3_5_65_65.trace,"[](a -> b)","[](a -> b || c)",5,65,65,1.729,"[](a -> (b || c))"
weakening/w_conseq_11_5_75_75.trace,"[](a -> b)","[](a -> b || c)",5,75,75,6.597,"[](a -> (b || c))"
weakening/w_antec_7_30_5_5.trace,"[](a -> b)","[](a && c -> b)",30,5,5,28.622,"[]((a && c) -> b)"
weakening/w_conseq_7_80_5_5.trace,"[](a -> b)","[](a -> b || c)",80,5,5,TO,-
weakening/w_antec_11_65_5_5.trace,"[](a -> b)","[](a && c -> b)",65,5,5,"ERR:Unknown exception occurred: java.lang.OutOfMemoryError: GC overhead limit exceeded",-
weakening/w_antec_11_5_40_40.trace,"[](a -> b)","[](a && c -> b)",5,40,40,3.61,"[]((a && c) -> b)"
weakening/w_antec_7_35_5_5.trace,"[](a -> b)","[](a && c -> b)",35,5,5,58.138,"[]((a && c) -> b)"
